,0,1,2,3,4,5,6,7,8,9,10
8989,bottled water,fruit/vegetable juice,,,,,,,,,
8990,sausage,flower (seeds),,,,,,,,,
8991,root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
8992,frankfurter,root vegetables,,,,,,,,,
8993,canned beer,shopping bags,rolls/buns,yogurt,butter milk,,,,,,
8994,pastry,newspapers,,,,,,,,,
8995,citrus fruit,soda,,,,,,,,,
8996,tropical fruit,rolls/buns,,,,,,,,,
8997,pork,pip fruit,,,,,,,,,
8998,root vegetables,misc. beverages,,,,,,,,,
8999,hard cheese,yogurt,,,,,,,,,
9000,yogurt,yogurt,,,,,,,,,
9001,meat,yogurt,,,,,,,,,
9002,rolls/buns,soda,red/blush wine,,,,,,,,
9003,beverages,specialty chocolate,,,,,,,,,
9004,curd,other vegetables,,,,,,,,,
9005,other vegetables,curd,,,,,,,,,
9006,brown bread,butter milk,,,,,,,,,
9007,beverages,cake bar,cake bar,frozen meals,,,,,,,
9008,fruit/vegetable juice,root vegetables,,,,,,,,,
9009,other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
9010,shopping bags,curd,hard cheese,,,,,,,,
9011,frankfurter,seasonal products,rolls/buns,,,,,,,,
9012,pork,root vegetables,,,,,,,,,
9013,cat food,sparkling wine,,,,,,,,,
9014,other vegetables,pot plants,vinegar,,,,,,,,
9015,tropical fruit,dishes,,,,,,,,,
9016,root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
9017,fruit/vegetable juice,candy,hygiene articles,,,,,,,,
9018,canned fish,brown bread,,,,,,,,,
9019,meat,beverages,,,,,,,,,
9020,rolls/buns,white bread,,,,,,,,,
9021,root vegetables,red/blush wine,salty snack,,,,,,,,
9022,ham,frozen meals,,,,,,,,,
9023,berries,whipped/sour cream,,,,,,,,,
9024,chicken,butter,rolls/buns,shopping bags,soda,,,,,,
9025,other vegetables,bottled water,,,,,,,,,
9026,hamburger meat,pasta,,,,,,,,,
9027,tropical fruit,rice,,,,,,,,,
9028,rolls/buns,butter,,,,,,,,,
9029,coffee,roll products ,,,,,,,,,
9030,chicken,UHT-milk,,,,,,,,,
9031,hamburger meat,shopping bags,,,,,,,,,
9032,soda,canned vegetables,,,,,,,,,
9033,beef,frozen vegetables,,,,,,,,,
9034,butter milk,pickled vegetables,,,,,,,,,
9035,cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
9036,sausage,berries,,,,,,,,,
9037,citrus fruit,rolls/buns,,,,,,,,,
9038,chicken,white wine,margarine,,,,,,,,
9039,sausage,waffles,,,,,,,,,
9040,liquor,Instant food products,,,,,,,,,
9041,pork,dessert,,,,,,,,,
9042,grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
9043,candy,newspapers,female sanitary products,,,,,,,,
9044,whole milk,soda,,,,,,,,,
9045,frozen vegetables,liquor (appetizer),,,,,,,,,
9046,white bread,brown bread,,,,,,,,,
9047,beef,canned beer,,,,,,,,,
9048,citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
9049,other vegetables,rolls/buns,,,,,,,,,
9050,other vegetables,frankfurter,root vegetables,newspapers,,,,,,,
9051,rolls/buns,brandy,,,,,,,,,
9052,citrus fruit,root vegetables,,,,,,,,,
9053,canned fish,fruit/vegetable juice,,,,,,,,,
9054,rolls/buns,pip fruit,,,,,,,,,
9055,beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
9056,sausage,domestic eggs,,,,,,,,,
9057,tropical fruit,curd,,,,,,,,,
9058,chicken,pip fruit,,,,,,,,,
9059,root vegetables,coffee,,,,,,,,,
9060,canned beer,syrup,brown bread,rice,,,,,,,
9061,pastry,napkins,shopping bags,margarine,,,,,,,
9062,sausage,cream cheese ,,,,,,,,,
9063,sausage,beverages,,,,,,,,,
9064,soda,tropical fruit,,,,,,,,,
9065,soda,white bread,frozen vegetables,,,,,,,,
9066,margarine,soda,canned fish,,,,,,,,
9067,root vegetables,whole milk,zwieback,,,,,,,,
9068,frankfurter,ice cream,mustard,soda,,,,,,,
9069,beef,tea,,,,,,,,,
9070,sausage,soda,,,,,,,,,
9071,whole milk,white bread,,,,,,,,,
9072,pork,soda,rolls/buns,brown bread,,,,,,,
9073,root vegetables,soda,,,,,,,,,
9074,beverages,pastry,,,,,,,,,
9075,pastry,pip fruit,,,,,,,,,
9076,berries,tropical fruit,,,,,,,,,
9077,other vegetables,meat,salty snack,,,,,,,,
9078,bottled water,pork,salty snack,,,,,,,,
9079,pip fruit,shopping bags,butter,,,,,,,,
9080,soda,soda,,,,,,,,,
9081,semi-finished bread,yogurt,,,,,,,,,
9082,tropical fruit,whole milk,,,,,,,,,
9083,rolls/buns,butter milk,,,,,,,,,
9084,meat,white bread,,,,,,,,,
9085,canned beer,rolls/buns,,,,,,,,,
9086,berries,other vegetables,,,,,,,,,
9087,citrus fruit,pastry,,,,,,,,,
9088,UHT-milk,soda,,,,,,,,,
9089,chewing gum,frozen vegetables,,,,,,,,,
9090,frankfurter,other vegetables,,,,,,,,,
9091,canned beer,other vegetables,,,,,,,,,
9092,other vegetables,root vegetables,pastry,margarine,,,,,,,
9093,pastry,soft cheese,,,,,,,,,
9094,canned fish,yogurt,,,,,,,,,
9095,softener,margarine,hygiene articles,,,,,,,,
9096,soda,other vegetables,,,,,,,,,
9097,root vegetables,whole milk,,,,,,,,,
9098,whipped/sour cream,sausage,root vegetables,soda,,,,,,,
9099,chicken,chocolate marshmallow,hygiene articles,,,,,,,,
9100,whole milk,bottled water,coffee,,,,,,,,
9101,sausage,pastry,,,,,,,,,
9102,rolls/buns,mustard,,,,,,,,,
9103,other vegetables,dessert,,,,,,,,,
9104,citrus fruit,butter,,,,,,,,,
9105,sausage,whole milk,,,,,,,,,
9106,white bread,processed cheese,,,,,,,,,
9107,pastry,whole milk,,,,,,,,,
9108,tropical fruit,tropical fruit,whole milk,,,,,,,,
9109,canned beer,sugar,,,,,,,,,
9110,tropical fruit,pork,whole milk,salt,,,,,,,
9111,pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
9112,other vegetables,dessert,,,,,,,,,
9113,domestic eggs,frozen vegetables,,,,,,,,,
9114,soda,white bread,chocolate,sugar,,,,,,,
9115,yogurt,soda,,,,,,,,,
9116,citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
9117,pet care,rolls/buns,,,,,,,,,
9118,pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
9119,rolls/buns,bottled water,,,,,,,,,
9120,berries,specialty cheese,,,,,,,,,
9121,soda,nut snack,,,,,,,,,
9122,coffee,soda,,,,,,,,,
9123,shopping bags,cream cheese ,cream cheese ,,,,,,,,
9124,citrus fruit,tropical fruit,butter,ham,,,,,,,
9125,sausage,beverages,,,,,,,,,
9126,pip fruit,bottled water,,,,,,,,,
9127,pastry,shopping bags,,,,,,,,,
9128,tropical fruit,yogurt,,,,,,,,,
9129,margarine,chocolate,,,,,,,,,
9130,salt,brown bread,,,,,,,,,
9131,condensed milk,shopping bags,long life bakery product,,,,,,,,
9132,canned fish,yogurt,napkins,,,,,,,,
9133,fruit/vegetable juice,dessert,,,,,,,,,
9134,tropical fruit,whipped/sour cream,,,,,,,,,
9135,bottled water,soda,,,,,,,,,
9136,chicken,frozen vegetables,candles,,,,,,,,
9137,butter milk,white wine,,,,,,,,,
9138,coffee,berries,pickled vegetables,,,,,,,,
9139,sausage,other vegetables,,,,,,,,,
9140,other vegetables,rolls/buns,rolls/buns,whole milk,newspapers,,,,,,
9141,misc. beverages,salt,,,,,,,,,
9142,citrus fruit,shopping bags,,,,,,,,,
9143,pastry,citrus fruit,,,,,,,,,
9144,beef,pastry,candy,,,,,,,,
9145,soda,beef,,,,,,,,,
9146,pip fruit,citrus fruit,,,,,,,,,
9147,newspapers,sausage,,,,,,,,,
9148,butter,dish cleaner,,,,,,,,,
9149,whipped/sour cream,yogurt,,,,,,,,,
9150,pastry,vinegar,salty snack,,,,,,,,
9151,liver loaf,canned beer,tropical fruit,canned vegetables,,,,,,,
9152,chicken,other vegetables,,,,,,,,,
9153,whole milk,whole milk,,,,,,,,,
9154,soda,hard cheese,,,,,,,,,
9155,other vegetables,brown bread,,,,,,,,,
9156,hamburger meat,yogurt,curd cheese,frozen meals,mustard,soda,white wine,butter,,,
9157,flower (seeds),shopping bags,,,,,,,,,
9158,root vegetables,zwieback,,,,,,,,,
9159,soda,sweet spreads,bottled beer,frozen meals,pasta,,,,,,
9160,frankfurter,hygiene articles,rolls/buns,,,,,,,,
9161,meat,vinegar,,,,,,,,,
9162,pastry,liquor,,,,,,,,,
9163,sliced cheese,rolls/buns,rolls/buns,,,,,,,,
9164,citrus fruit,hamburger meat,other vegetables,specialty chocolate,,,,,,,
9165,frankfurter,mayonnaise,whipped/sour cream,pastry,misc. beverages,,,,,,
9166,citrus fruit,whole milk,chocolate,,,,,,,,
9167,tropical fruit,shopping bags,,,,,,,,,
9168,whole milk,whole milk,,,,,,,,,
9169,whole milk,liquor (appetizer),,,,,,,,,
9170,rolls/buns,curd,,,,,,,,,
9171,fruit/vegetable juice,long life bakery product,,,,,,,,,
9172,other vegetables,other vegetables,soda,dish cleaner,,,,,,,
9173,newspapers,roll products ,,,,,,,,,
9174,newspapers,berries,,,,,,,,,
9175,tropical fruit,dishes,,,,,,,,,
9176,root vegetables,frozen potato products,,,,,,,,,
9177,whole milk,canned fish,,,,,,,,,
9178,other vegetables,yogurt,,,,,,,,,
9179,bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
9180,herbs,root vegetables,,,,,,,,,
9181,ice cream,pastry,,,,,,,,,
9182,frozen meals,rolls/buns,chocolate marshmallow,,,,,,,,
9183,white bread,fruit/vegetable juice,,,,,,,,,
9184,meat,pasta,,,,,,,,,
9185,bottled water,detergent,domestic eggs,yogurt,,,,,,,
9186,whipped/sour cream,white bread,,,,,,,,,
9187,tropical fruit,bottled water,long life bakery product,,,,,,,,
9188,canned beer,rolls/buns,,,,,,,,,
9189,herbs,pip fruit,,,,,,,,,
9190,turkey,long life bakery product,,,,,,,,,
9191,rolls/buns,pastry,,,,,,,,,
9192,frankfurter,soda,,,,,,,,,
9193,other vegetables,bottled water,,,,,,,,,
9194,flour,baking powder,,,,,,,,,
9195,beverages,white wine,frozen potato products,,,,,,,,
9196,root vegetables,chocolate,,,,,,,,,
9197,root vegetables,misc. beverages,other vegetables,,,,,,,,
9198,yogurt,other vegetables,,,,,,,,,
9199,citrus fruit,pork,root vegetables,dishes,curd,rolls/buns,candy,yogurt,,,
9200,soda,beef,bottled beer,soda,,,,,,,
9201,sausage,whole milk,,,,,,,,,
9202,root vegetables,oil,soda,,,,,,,,
9203,brown bread,domestic eggs,,,,,,,,,
9204,pastry,root vegetables,,,,,,,,,
9205,citrus fruit,sliced cheese,,,,,,,,,
9206,frozen vegetables,chicken,,,,,,,,,
9207,sausage,male cosmetics,,,,,,,,,
9208,berries,hard cheese,dishes,,,,,,,,
9209,pip fruit,sausage,pip fruit,shopping bags,,,,,,,
9210,pasta,tropical fruit,,,,,,,,,
9211,newspapers,frozen meals,,,,,,,,,
9212,pip fruit,pickled vegetables,,,,,,,,,
9213,UHT-milk,rolls/buns,,,,,,,,,
9214,beef,shopping bags,pickled vegetables,,,,,,,,
9215,specialty bar,candy,,,,,,,,,
9216,canned beer,rolls/buns,,,,,,,,,
9217,tropical fruit,white bread,,,,,,,,,
9218,cream cheese ,salty snack,,,,,,,,,
9219,sausage,herbs,,,,,,,,,
9220,whole milk,whole milk,semi-finished bread,brandy,,,,,,,
9221,pork,napkins,,,,,,,,,
9222,rolls/buns,misc. beverages,,,,,,,,,
9223,rolls/buns,tropical fruit,,,,,,,,,
9224,whole milk,whipped/sour cream,,,,,,,,,
9225,soap,candy,,,,,,,,,
9226,hamburger meat,yogurt,,,,,,,,,
9227,canned beer,citrus fruit,,,,,,,,,
9228,pip fruit,root vegetables,pip fruit,spread cheese,,,,,,,
9229,whole milk,onions,,,,,,,,,
9230,whipped/sour cream,frozen vegetables,,,,,,,,,
9231,rolls/buns,domestic eggs,,,,,,,,,
9232,rolls/buns,seasonal products,,,,,,,,,
9233,rolls/buns,bottled water,,,,,,,,,
9234,pip fruit,sugar,,,,,,,,,
9235,curd,specialty chocolate,,,,,,,,,
9236,frankfurter,bottled beer,domestic eggs,,,,,,,,
9237,rolls/buns,other vegetables,,,,,,,,,
9238,yogurt,margarine,long life bakery product,coffee,,,,,,,
9239,whole milk,frozen dessert,popcorn,,,,,,,,
9240,misc. beverages,tropical fruit,yogurt,specialty chocolate,,,,,,,
9241,tropical fruit,nuts/prunes,,,,,,,,,
9242,berries,other vegetables,,,,,,,,,
9243,canned beer,beverages,,,,,,,,,
9244,tropical fruit,cat food,,,,,,,,,
9245,detergent,newspapers,,,,,,,,,
9246,root vegetables,specialty bar,,,,,,,,,
9247,rolls/buns,whole milk,,,,,,,,,
9248,fruit/vegetable juice,root vegetables,,,,,,,,,
9249,sausage,female sanitary products,,,,,,,,,
9250,ham,root vegetables,,,,,,,,,
9251,beef,candy,,,,,,,,,
9252,soda,frozen dessert,,,,,,,,,
9253,canned beer,canned beer,,,,,,,,,
9254,citrus fruit,pip fruit,,,,,,,,,
9255,root vegetables,dessert,,,,,,,,,
9256,seasonal products,whole milk,soda,,,,,,,,
9257,citrus fruit,fruit/vegetable juice,,,,,,,,,
9258,fruit/vegetable juice,canned vegetables,,,,,,,,,
9259,pastry,hygiene articles,,,,,,,,,
9260,domestic eggs,candy,,,,,,,,,
9261,canned beer,whole milk,pork,oil,,,,,,,
9262,beef,candy,,,,,,,,,
9263,liquor (appetizer),hard cheese,yogurt,,,,,,,,
9264,whole milk,root vegetables,,,,,,,,,
9265,white wine,sliced cheese,whole milk,oil,rolls/buns,,,,,,
9266,tropical fruit,rolls/buns,Instant food products,,,,,,,,
9267,misc. beverages,salt,candy,,,,,,,,
9268,margarine,long life bakery product,,,,,,,,,
9269,rolls/buns,soda,,,,,,,,,
9270,other vegetables,soda,brown bread,whole milk,yogurt,cling film/bags,brown bread,pastry,,,
9271,brown bread,UHT-milk,beef,red/blush wine,brown bread,rolls/buns,pickled vegetables,,,,
9272,pork,white bread,,,,,,,,,
9273,pip fruit,other vegetables,whole milk,whipped/sour cream,,,,,,,
9274,pet care,pork,,,,,,,,,
9275,pip fruit,root vegetables,,,,,,,,,
9276,zwieback,butter,,,,,,,,,
9277,coffee,napkins,,,,,,,,,
9278,other vegetables,root vegetables,,,,,,,,,
9279,sausage,sugar,,,,,,,,,
9280,other vegetables,kitchen towels,,,,,,,,,
9281,berries,whole milk,,,,,,,,,
9282,canned beer,whole milk,soda,,,,,,,,
9283,red/blush wine,curd,,,,,,,,,
9284,hard cheese,canned beer,,,,,,,,,
9285,yogurt,napkins,,,,,,,,,
9286,whole milk,white wine,UHT-milk,,,,,,,,
9287,specialty chocolate,other vegetables,,,,,,,,,
9288,meat,tropical fruit,,,,,,,,,
9289,brown bread,pastry,,,,,,,,,
9290,soda,soda,canned beer,frozen dessert,tropical fruit,whole milk,bottled water,specialty bar,domestic eggs,,
9291,pip fruit,misc. beverages,,,,,,,,,
9292,bottled beer,whipped/sour cream,,,,,,,,,
9293,rolls/buns,UHT-milk,,,,,,,,,
9294,coffee,soda,,,,,,,,,
9295,other vegetables,fruit/vegetable juice,,,,,,,,,
9296,UHT-milk,shopping bags,,,,,,,,,
9297,soda,artif. sweetener,salty snack,,,,,,,,
9298,whole milk,cream cheese ,,,,,,,,,
9299,canned beer,pip fruit,,,,,,,,,
9300,frankfurter,other vegetables,,,,,,,,,
9301,frozen meals,pip fruit,dish cleaner,processed cheese,,,,,,,
9302,pip fruit,root vegetables,frozen meals,hamburger meat,sugar,soda,spread cheese,,,,
9303,root vegetables,root vegetables,white wine,whipped/sour cream,abrasive cleaner,soda,,,,,
9304,meat spreads,ketchup,,,,,,,,,
9305,white wine,soft cheese,,,,,,,,,
9306,candy,cream cheese ,brown bread,soda,,,,,,,
9307,coffee,UHT-milk,,,,,,,,,
9308,soda,other vegetables,white bread,,,,,,,,
9309,beverages,domestic eggs,,,,,,,,,
9310,photo/film,root vegetables,,,,,,,,,
9311,tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
9312,root vegetables,UHT-milk,,,,,,,,,
9313,other vegetables,pastry,,,,,,,,,
9314,root vegetables,frozen meals,,,,,,,,,
9315,whole milk,pip fruit,frozen vegetables,soda,,,,,,,
9316,other vegetables,red/blush wine,,,,,,,,,
9317,citrus fruit,newspapers,candy,,,,,,,,
9318,root vegetables,pastry,,,,,,,,,
9319,root vegetables,frozen fruits,waffles,,,,,,,,
9320,frozen dessert,citrus fruit,,,,,,,,,
9321,seasonal products,dishes,shopping bags,,,,,,,,
9322,dessert,curd,,,,,,,,,
9323,whole milk,hygiene articles,,,,,,,,,
9324,beef,bottled water,,,,,,,,,
9325,waffles,bottled water,,,,,,,,,
9326,soda,pip fruit,hygiene articles,oil,,,,,,,
9327,beef,citrus fruit,tropical fruit,coffee,fruit/vegetable juice,specialty chocolate,,,,,
9328,frankfurter,whole milk,,,,,,,,,
9329,whole milk,bottled beer,,,,,,,,,
9330,soda,newspapers,,,,,,,,,
9331,hamburger meat,citrus fruit,,,,,,,,,
9332,napkins,chewing gum,,,,,,,,,
9333,specialty chocolate,specialty cheese,,,,,,,,,
9334,frankfurter,bottled water,,,,,,,,,
9335,organic sausage,other vegetables,,,,,,,,,
9336,other vegetables,butter milk,,,,,,,,,
9337,cat food,rolls/buns,,,,,,,,,
9338,onions,waffles,bottled beer,,,,,,,,
9339,frankfurter,baking powder,condensed milk,coffee,,,,,,,
9340,soda,frozen meals,,,,,,,,,
9341,meat,butter,,,,,,,,,
9342,sliced cheese,cling film/bags,,,,,,,,,
9343,onions,brown bread,canned vegetables,canned beer,,,,,,,
9344,root vegetables,pastry,,,,,,,,,
9345,canned beer,rolls/buns,,,,,,,,,
9346,pip fruit,root vegetables,,,,,,,,,
9347,dessert,rolls/buns,,,,,,,,,
9348,long life bakery product,whipped/sour cream,bottled beer,,,,,,,,
9349,photo/film,whipped/sour cream,,,,,,,,,
9350,curd,brown bread,,,,,,,,,
9351,spread cheese,chocolate marshmallow,,,,,,,,,
9352,butter,margarine,,,,,,,,,
9353,hard cheese,domestic eggs,,,,,,,,,
9354,yogurt,domestic eggs,,,,,,,,,
9355,specialty bar,brown bread,,,,,,,,,
9356,whole milk,hard cheese,,,,,,,,,
9357,frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
9358,finished products,other vegetables,,,,,,,,,
9359,whole milk,whole milk,whole milk,domestic eggs,,,,,,,
9360,candy,spread cheese,,,,,,,,,
9361,ham,brown bread,,,,,,,,,
9362,sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
9363,beef,pastry,,,,,,,,,
9364,hamburger meat,citrus fruit,whole milk,specialty bar,,,,,,,
9365,sausage,hamburger meat,other vegetables,,,,,,,,
9366,bottled water,other vegetables,root vegetables,rolls/buns,soda,sugar,,,,,
9367,whole milk,newspapers,,,,,,,,,
9368,sliced cheese,pudding powder,,,,,,,,,
9369,other vegetables,canned beer,shopping bags,,,,,,,,
9370,detergent,newspapers,other vegetables,ketchup,,,,,,,
9371,butter milk,other vegetables,,,,,,,,,
9372,yogurt,rolls/buns,,,,,,,,,
9373,soda,yogurt,,,,,,,,,
9374,yogurt,whole milk,,,,,,,,,
9375,tropical fruit,liquor,,,,,,,,,
9376,meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
9377,brown bread,domestic eggs,,,,,,,,,
9378,pastry,brown bread,whisky,,,,,,,,
9379,bottled water,other vegetables,,,,,,,,,
9380,whole milk,chocolate,,,,,,,,,
9381,rolls/buns,rolls/buns,,,,,,,,,
9382,newspapers,salty snack,pastry,,,,,,,,
9383,root vegetables,other vegetables,,,,,,,,,
9384,frozen meals,margarine,semi-finished bread,,,,,,,,
9385,citrus fruit,whipped/sour cream,,,,,,,,,
9386,hygiene articles,dessert,,,,,,,,,
9387,berries,whole milk,,,,,,,,,
9388,sliced cheese,newspapers,frozen vegetables,,,,,,,,
9389,tropical fruit,soda,,,,,,,,,
9390,frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
9391,domestic eggs,specialty cheese,,,,,,,,,
9392,whole milk,yogurt,,,,,,,,,
9393,sausage,other vegetables,,,,,,,,,
9394,beef,coffee,,,,,,,,,
9395,onions,white wine,,,,,,,,,
9396,canned beer,long life bakery product,dish cleaner,candy,,,,,,,
9397,shopping bags,dessert,processed cheese,,,,,,,,
9398,canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
9399,soda,liquor (appetizer),salty snack,,,,,,,,
9400,sausage,rolls/buns,,,,,,,,,
9401,pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
9402,fruit/vegetable juice,other vegetables,,,,,,,,,
9403,curd,condensed milk,dental care,,,,,,,,
9404,pastry,bottled water,,,,,,,,,
9405,pot plants,pastry,,,,,,,,,
9406,yogurt,root vegetables,,,,,,,,,
9407,pip fruit,pork,,,,,,,,,
9408,canned beer,beverages,,,,,,,,,
9409,napkins,rolls/buns,,,,,,,,,
9410,shopping bags,specialty chocolate,,,,,,,,,
9411,frozen meals,soda,,,,,,,,,
9412,candy,pastry,napkins,,,,,,,,
9413,white wine,spread cheese,,,,,,,,,
9414,herbs,whole milk,,,,,,,,,
9415,berries,butter,,,,,,,,,
9416,sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
9417,whole milk,canned vegetables,,,,,,,,,
9418,meat,pip fruit,,,,,,,,,
9419,other vegetables,butter,,,,,,,,,
9420,hamburger meat,other vegetables,,,,,,,,,
9421,citrus fruit,processed cheese,,,,,,,,,
9422,beef,yogurt,,,,,,,,,
9423,sausage,pastry,,,,,,,,,
9424,whole milk,rolls/buns,,,,,,,,,
9425,soda,beverages,fruit/vegetable juice,,,,,,,,
9426,pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
9427,beef,pastry,specialty chocolate,,,,,,,,
9428,pip fruit,rolls/buns,whole milk,,,,,,,,
9429,whole milk,oil,soups,,,,,,,,
9430,coffee,bottled water,,,,,,,,,
9431,cream cheese ,cream cheese ,,,,,,,,,
9432,frozen vegetables,cookware,,,,,,,,,
9433,citrus fruit,yogurt,,,,,,,,,
9434,brown bread,curd,,,,,,,,,
9435,sausage,semi-finished bread,coffee,,,,,,,,
9436,waffles,yogurt,,,,,,,,,
9437,yogurt,pet care,,,,,,,,,
9438,citrus fruit,other vegetables,,,,,,,,,
9439,photo/film,bottled beer,,,,,,,,,
9440,liquor (appetizer),soda,,,,,,,,,
9441,white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
9442,white wine,fruit/vegetable juice,,,,,,,,,
9443,yogurt,tropical fruit,,,,,,,,,
9444,root vegetables,bottled beer,,,,,,,,,
9445,salt,cream cheese ,,,,,,,,,
9446,salty snack,bottled water,,,,,,,,,
9447,pip fruit,whole milk,bottled water,,,,,,,,
9448,chicken,pickled vegetables,,,,,,,,,
9449,rolls/buns,house keeping products,,,,,,,,,
9450,whole milk,beef,,,,,,,,,
9451,other vegetables,sugar,,,,,,,,,
9452,rolls/buns,processed cheese,,,,,,,,,
9453,whole milk,rolls/buns,cat food,shopping bags,,,,,,,
9454,citrus fruit,brown bread,pastry,,,,,,,,
9455,tropical fruit,fruit/vegetable juice,,,,,,,,,
9456,canned beer,whole milk,,,,,,,,,
9457,frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
9458,dessert,whole milk,,,,,,,,,
9459,house keeping products,newspapers,,,,,,,,,
9460,frozen dessert,flower (seeds),,,,,,,,,
9461,canned beer,chocolate,,,,,,,,,
9462,whole milk,hard cheese,,,,,,,,,
9463,canned beer,curd,,,,,,,,,
9464,bottled water,whipped/sour cream,berries,whole milk,,,,,,,
9465,butter,berries,cereals,,,,,,,,
9466,frankfurter,whipped/sour cream,,,,,,,,,
9467,bottled beer,bottled beer,,,,,,,,,
9468,tropical fruit,frozen dessert,,,,,,,,,
9469,whole milk,other vegetables,rolls/buns,Instant food products,,,,,,,
9470,rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
9471,tropical fruit,bottled beer,other vegetables,meat,roll products ,,,,,,
9472,bottled water,soda,domestic eggs,jam,whole milk,,,,,,
9473,other vegetables,whipped/sour cream,,,,,,,,,
9474,tropical fruit,yogurt,,,,,,,,,
9475,other vegetables,shopping bags,,,,,,,,,
9476,dessert,mayonnaise,,,,,,,,,
9477,whole milk,rolls/buns,instant coffee,,,,,,,,
9478,pastry,whole milk,,,,,,,,,
9479,pork,spread cheese,,,,,,,,,
9480,yogurt,bottled beer,,,,,,,,,
9481,whole milk,instant coffee,whole milk,,,,,,,,
9482,frozen meals,dish cleaner,,,,,,,,,
9483,berries,sugar,,,,,,,,,
9484,newspapers,other vegetables,yogurt,,,,,,,,
9485,canned beer,other vegetables,salty snack,,,,,,,,
9486,beef,misc. beverages,,,,,,,,,
9487,brown bread,tropical fruit,rolls/buns,,,,,,,,
9488,whole milk,butter,soda,fruit/vegetable juice,,,,,,,
9489,salty snack,yogurt,,,,,,,,,
9490,ice cream,waffles,,,,,,,,,
9491,root vegetables,canned beer,,,,,,,,,
9492,mayonnaise,tropical fruit,packaged fruit/vegetables,beverages,cereals,,,,,,
9493,pork,pastry,,,,,,,,,
9494,candy,frozen meals,,,,,,,,,
9495,butter,long life bakery product,,,,,,,,,
9496,chocolate marshmallow,yogurt,,,,,,,,,
9497,canned vegetables,other vegetables,,,,,,,,,
9498,rolls/buns,canned beer,tropical fruit,chewing gum,margarine,,,,,,
9499,pip fruit,waffles,,,,,,,,,
9500,domestic eggs,ham,,,,,,,,,
9501,coffee,other vegetables,,,,,,,,,
9502,white bread,make up remover,,,,,,,,,
9503,artif. sweetener,salty snack,,,,,,,,,
9504,beef,meat,,,,,,,,,
9505,citrus fruit,root vegetables,,,,,,,,,
9506,onions,frozen vegetables,curd,,,,,,,,
9507,pork,margarine,,,,,,,,,
9508,curd,brown bread,,,,,,,,,
9509,butter milk,whipped/sour cream,,,,,,,,,
9510,hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
9511,yogurt,brown bread,,,,,,,,,
9512,frankfurter,bottled water,soft cheese,,,,,,,,
9513,meat,meat,whole milk,cling film/bags,,,,,,,
9514,ham,chocolate marshmallow,,,,,,,,,
9515,canned fish,yogurt,,,,,,,,,
9516,citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
9517,whole milk,soft cheese,soda,brown bread,,,,,,,
9518,frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
9519,rolls/buns,other vegetables,chewing gum,,,,,,,,
9520,soda,chocolate,,,,,,,,,
9521,whole milk,pastry,napkins,,,,,,,,
9522,spread cheese,cooking chocolate,,,,,,,,,
9523,pastry,shopping bags,,,,,,,,,
9524,root vegetables,liquor,,,,,,,,,
9525,light bulbs,detergent,,,,,,,,,
9526,citrus fruit,beef,,,,,,,,,
9527,berries,whole milk,,,,,,,,,
9528,soft cheese,pickled vegetables,,,,,,,,,
9529,canned beer,bottled beer,chocolate,,,,,,,,
9530,bottled water,other vegetables,coffee,soda,,,,,,,
9531,frankfurter,brown bread,,,,,,,,,
9532,ice cream,flower (seeds),,,,,,,,,
9533,citrus fruit,ice cream,,,,,,,,,
9534,other vegetables,whole milk,,,,,,,,,
9535,ham,white wine,,,,,,,,,
9536,butter,male cosmetics,newspapers,,,,,,,,
9537,tropical fruit,salty snack,,,,,,,,,
